"id","scientificName","scientificNameAuthorship","eventDate","decimalLongitude","decimalLatitude","institutionCode","collectionCode","catalogNumber","scientificNameID","originalscientificname","acceptedNameUsage","acceptedNameUsageID","accessRights","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","behavior","bibliographicCitation","class","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","countryCode","county","dataGeneralizations","datasetID","dateIdentified","depth","division","dynamicProperties","establishmentMeans","eventID","eventRemarks","eventTime","family","fieldNotes","fieldNumber","footprintSRS","footprintWKT","forma","genus","geodeticDatum","habitat","higherClassification","higherGeography","higherGeographyID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identifiedBy","individualCount","individualID","informationWithheld","infraclass","infrakingdom","infraorder","infraphylum","institutionID","island","islandGroup","kingdom","language","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","materialSampleID","maximumDepthInMeters","minimumDepthInMeters","modified","municipality","nameAccordingTo","nameAccordingToID","namePublishedIn","namePublishedInID","occurrenceID","occurrenceRemarks","occurrenceStatus","order","originalNameUsage","originalNameUsageID","otherCatalogNumbers","ownerInstitutionCode","parvorder","phylum","qc","recordNumber","recordedBy","references","reproductiveCondition","resource_id","rights","rightsHolder","section","sex","source","species","stateProvince","subclass","subdivision","subfamily","subforma","subgenus","subkingdom","suborder","subphylum","subsection","subspecies","subterclass","subtribe","subvariety","superclass","superfamily","superorder","supertribe","taxonConceptID","taxonID","taxonRank","taxonRemarks","taxonomicStatus","taxonomicgroup","tribe","type","typeStatus","valid_id","variety","vernacularName","waterBody","worms_id","year"
1822580,"Pelagia noctiluca","(Forsskål, 1775)","1978-05-14 12:00:00",-17.0066499710083,41.9783000946045,"Southampton Oceanography Ceter","discovery","980124_84_MED_101001","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,992.5,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1051197055,,,,,12,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1978"
1903579,"Pelagia noctiluca","(Forsskål, 1775)","1978-05-17 12:00:00",-16.9049997329712,41.8799991607666,"Southampton Oceanography Ceter","discovery","980162_86_MED_101001","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,1005,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1051197055,,,,,12,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1978"
2002385,"Pelagia noctiluca","(Forsskål, 1775)","1967-09-06 12:00:00",-40.3170013427734,37.9329986572266,"USNM","Invertebrate Zoology: Coelenterates","53702.26984","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,1550,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1067941503,,,,,500,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1967"
2186064,"Pelagia noctiluca","(Forsskål, 1775)","1978-05-17 12:00:00",-16.596699714660698,41.9483489990235,"Southampton Oceanography Ceter","discovery","980169_84_MED_101001","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,1000,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1051197055,,,,,12,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1978"
2204432,"Pelagia noctiluca","(Forsskål, 1775)",,-16.3999996185303,32.7830009460449,"USNM","Invertebrate Zoology: Coelenterates","54415.27606","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,1775,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,"12",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1072135743,,,,,500,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,
2244874,"Pelagia noctiluca","(Forsskål, 1775)","1961-10-03 12:00:00",-79.8499984741211,29.4169998168945,"USNM","Invertebrate Zoology: Coelenterates","54369.27561","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,640.5,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,"5",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",984972927,,,,,500,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1961"
2285321,"Pelagia noctiluca","(Forsskål, 1775)","1885-03-02 12:00:00",-87.9375,28.0833301544189,"USNM","Invertebrate Zoology: Coelenterates","58689.31786","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,2432,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",985103999,,,,,500,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1885"
2386262,"Pelagia noctiluca","(Forsskål, 1775)","1881-08-23 12:00:00",-70.466667175293,39.9166717529297,"USNM","Invertebrate Zoology: Coelenterates","9719.68930","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,724,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,"3",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",984841855,,,,,500,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1881"
3764182,"Pelagia noctiluca","(Forsskål, 1775)","1914-02-05 12:00:00",-75.8000030517578,32.5,"USNM","Invertebrate Zoology: Coelenterates","41531.18529","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",984055423,,,,,500,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1914"
4242812,"Pelagia noctiluca","(Forsskål, 1775)","1978-05-14 12:00:00",-16.9274997711181,42.0141506195068,"Southampton Oceanography Ceter","discovery","980126_86_MED_101001","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,1000,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1051197055,,,,,12,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1978"
4382886,"Pelagia noctiluca","(Forsskål, 1775)","1969-04-30 12:00:00",-63.882999420165994,32.2999992370605,"USNM","Invertebrate Zoology: Coelenterates","54361.27553","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,10,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,"11",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",988249727,,,,,500,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1969"
4403300,"Pelagia noctiluca","(Forsskål, 1775)","1986-07-30 12:00:00",-70.91722106933591,39.9041709899902,"USNM","Invertebrate Zoology: Coelenterates","87518.59213","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,563,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,"1",,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",985103999,,,,,500,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1986"
4707993,"Pelagia noctiluca","(Forsskål, 1775)","1978-05-17 12:00:00",-16.846699714660698,41.8875007629395,"Southampton Oceanography Ceter","discovery","980164_85_MED_101001","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa",,,,,,,,,,1000,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",1051197055,,,,,12,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"1978"
